,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tsimmerbude,RU,54.675,20.1347,47.97,74,100,17.58,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,74.57,78,85,10.07,light rain
2,São João da Barra,BR,-21.6403,-41.0511,75.29,76,7,15.86,clear sky
3,Faanui,PF,-16.4833,-151.75,79.45,75,97,10.29,overcast clouds
4,Upernavik,GL,72.7868,-56.1549,17.08,83,45,4.38,scattered clouds
5,Vaini,TO,-21.2,-175.2,80.76,89,40,6.91,light rain
6,Bosaso,SO,11.2842,49.1816,78.31,58,8,6.6,clear sky
7,Geraldton,AU,-28.7667,114.6,55.81,82,40,10.36,scattered clouds
8,Hilo,US,19.7297,-155.09,79.11,68,90,6.91,light rain
9,Coyhaique,CL,-45.5752,-72.0662,63.21,45,0,8.05,clear sky
10,Atar,MR,20.5169,-13.0499,83.84,20,9,7.87,clear sky
11,Kloulklubed,PW,7.0419,134.2556,77.5,72,11,9.44,few clouds
12,Qaanaaq,GL,77.484,-69.3632,11.91,66,96,11.34,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,70.2,94,75,20.71,broken clouds
14,Te Anau,NZ,-45.4167,167.7167,50.81,82,99,0.34,overcast clouds
15,Lata,PT,40.1629,-8.3327,55.81,66,0,2.95,clear sky
16,Zhuhai,CN,22.2769,113.5678,76.71,88,20,4.61,light rain
17,Kyshtovka,RU,56.555,76.6271,26.91,87,99,12.06,overcast clouds
18,Busselton,AU,-33.65,115.3333,47.08,79,0,8.55,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,59.11,44,40,28.77,scattered clouds
20,New Norfolk,AU,-42.7826,147.0587,56.91,69,62,2.93,broken clouds
21,Khatanga,RU,71.9667,102.5,-1.23,91,92,17.09,overcast clouds
22,Ponta do Sol,PT,32.6667,-17.1,68.63,56,19,9.13,few clouds
23,Faya,SA,18.3851,42.4509,60.91,52,10,3.22,clear sky
24,La Sarre,CA,48.8002,-79.1996,42.62,67,100,12.46,overcast clouds
25,Kupang,ID,-10.1667,123.5833,80.46,84,88,6.29,overcast clouds
26,Gisborne,NZ,-38.6533,178.0042,55.94,93,100,7.16,overcast clouds
27,Amparafaravola,MG,-17.5833,48.2167,69.8,77,90,5.59,overcast clouds
28,Cidreira,BR,-30.1811,-50.2056,70.7,86,96,11.77,overcast clouds
29,Butaritari,KI,3.0707,172.7902,82.09,72,5,12.77,clear sky
30,Ligayan,PH,4.6533,119.4706,82.08,76,44,1.07,scattered clouds
31,Airai,TL,-8.9266,125.4092,61.77,92,100,2.06,overcast clouds
32,Kapaa,US,22.0752,-159.319,80.92,73,40,1.99,light rain
33,Vanavara,RU,60.34,102.2797,12.81,85,100,14.23,overcast clouds
34,Cap Malheureux,MU,-19.9842,57.6142,75.69,81,4,5.01,clear sky
35,Sungai Penuh,ID,-2.0833,101.3833,64.63,95,100,0.78,moderate rain
36,Nikolskoye,RU,59.7035,30.7861,46.87,85,100,12.21,overcast clouds
37,Tubod,PH,8.0555,123.7904,74.93,95,77,1.66,broken clouds
38,Camacha,PT,33.0833,-16.3333,65.16,82,75,13.8,broken clouds
39,Sain Alto,MX,23.5833,-103.25,68.58,35,2,5.88,clear sky
40,Ushuaia,AR,-54.8,-68.3,56.86,38,40,23.02,light rain
41,Albany,US,42.6001,-73.9662,49.03,52,85,7.18,overcast clouds
42,Bethel,US,41.3712,-73.414,52.38,46,1,3.0,clear sky
43,Katsuura,JP,35.1333,140.3,57.31,73,3,10.94,clear sky
44,Vanimo,PG,-2.6741,141.3028,76.82,90,94,6.22,overcast clouds
45,Tshikapa,CD,-6.4167,20.8,70.9,90,27,4.05,light rain
46,San-Pédro,CI,4.7485,-6.6363,78.94,86,18,6.42,few clouds
47,Goderich,CA,43.7501,-81.7165,49.91,57,16,11.5,few clouds
48,Morris,US,40.8334,-74.5329,52.83,42,20,1.99,few clouds
49,Vondrozo,MG,-22.8167,47.2833,64.54,81,100,4.85,overcast clouds
50,Abhā,SA,18.2164,42.5053,60.62,26,0,0.0,clear sky
51,Pozhva,RU,59.0912,56.0847,34.32,87,100,12.39,overcast clouds
52,Novoagansk,RU,61.9449,76.6625,30.87,97,100,12.17,light snow
53,Barrow,US,71.2906,-156.7887,17.62,79,90,31.07,haze
54,Lüderitz,NA,-26.6481,15.1594,63.73,66,81,20.24,broken clouds
55,Tilichiki,RU,60.4667,166.1,-0.31,99,77,6.29,broken clouds
56,Ust'-Barguzin,RU,53.45,108.9833,17.24,74,100,5.53,overcast clouds
57,Yermakovskoye,RU,53.2831,92.4003,17.71,73,100,3.91,overcast clouds
58,Puerto Ayora,EC,-0.7393,-90.3518,75.16,72,30,12.06,scattered clouds
59,Cap-aux-Meules,CA,47.3821,-61.8597,41.05,60,75,11.5,broken clouds
60,Klaksvík,FO,62.2266,-6.589,43.72,71,100,14.88,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,20,6.91,light rain
62,Ōzu,JP,33.5,132.55,53.19,74,100,5.5,overcast clouds
63,George Town,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
64,Campos Belos,BR,-13.0367,-46.7717,75.69,78,100,4.63,overcast clouds
65,San Cristobal,VE,7.7669,-72.225,80.78,55,24,6.11,few clouds
66,Bengbu,CN,32.9408,117.3608,62.37,92,100,6.87,overcast clouds
67,Atuona,PF,-9.8,-139.0333,77.99,68,3,16.42,clear sky
68,Rome,US,43.2128,-75.4557,47.82,64,75,1.01,broken clouds
69,La Serena,CL,-29.9078,-71.2542,60.31,67,40,10.36,scattered clouds
70,Hithadhoo,MV,-0.6,73.0833,82.09,72,99,12.71,overcast clouds
71,Bluff,NZ,-46.6,168.3333,47.8,71,18,5.73,few clouds
72,Saint George,US,37.1041,-113.5841,81.07,29,1,1.01,clear sky
73,Mataura,NZ,-46.1927,168.8643,47.48,63,86,2.62,overcast clouds
74,Zaton,RU,53.2936,83.8072,22.59,68,75,17.9,broken clouds
75,Havøysund,NO,70.9963,24.6622,35.83,86,100,9.13,overcast clouds
76,Bengkulu,ID,-3.8004,102.2655,74.41,92,100,6.08,moderate rain
77,Morelia,MX,19.7008,-101.1844,71.76,40,92,4.09,overcast clouds
78,Broome,US,42.2506,-75.833,48.18,54,40,1.01,scattered clouds
79,Jalu,LY,29.0331,21.5482,75.49,30,0,7.52,clear sky
80,Maragogi,BR,-9.0122,-35.2225,80.13,80,87,15.66,overcast clouds
81,Mwinilunga,ZM,-11.7358,24.4293,63.37,87,21,3.4,few clouds
82,Port Hardy,CA,50.6996,-127.4199,44.6,87,90,13.8,light intensity shower rain
83,Zyryanka,RU,65.75,150.85,6.12,82,59,11.9,broken clouds
84,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,0,3.44,clear sky
85,Port Moresby,PG,-9.4431,147.1797,75.58,88,8,2.48,clear sky
86,Vila Franca do Campo,PT,37.7167,-25.4333,71.2,86,100,18.19,overcast clouds
87,Tiksi,RU,71.6872,128.8694,4.68,77,100,28.21,overcast clouds
88,Balkanabat,TM,39.5108,54.3671,42.89,18,100,8.99,overcast clouds
89,Pisa,IT,43.7155,10.3966,57.54,62,0,3.44,clear sky
90,Lagan,RU,45.3929,47.3707,48.85,63,6,19.44,clear sky
91,Cape Town,ZA,-33.9258,18.4232,61.27,75,1,1.01,clear sky
92,Eston,CA,51.1501,-108.7514,60.69,43,39,12.77,scattered clouds
93,Agadir,MA,30.4202,-9.5982,64.85,54,0,2.13,clear sky
94,San Quintín,MX,30.4833,-115.95,72.07,62,31,9.4,scattered clouds
95,Hammerfest,NO,70.6634,23.6821,34.25,80,75,8.05,light rain
96,Dingle,PH,10.9995,122.6711,75.51,93,100,4.65,overcast clouds
97,Khani,GE,41.9563,42.9566,54.97,69,3,5.66,clear sky
98,Menongue,AO,-14.6585,17.691,73.54,50,88,5.84,overcast clouds
99,Launceston,AU,-41.45,147.1667,60.44,82,90,10.36,overcast clouds
100,Yellowknife,CA,62.456,-114.3525,31.41,100,75,5.75,broken clouds
101,Norman Wells,CA,65.282,-126.8329,15.84,92,75,2.3,broken clouds
102,Edosaki,JP,35.95,140.3167,57.94,75,4,5.73,clear sky
103,Avarua,CK,-21.2078,-159.775,78.85,61,100,10.36,overcast clouds
104,Mutare,ZW,-18.9707,32.6709,69.62,51,29,4.5,scattered clouds
105,Nioro,GM,13.35,-15.75,82.9,55,29,5.19,scattered clouds
106,East London,ZA,-33.0153,27.9116,65.86,87,100,9.86,light rain
107,Pulaski,US,34.7668,-92.3001,59.25,40,1,5.99,clear sky
